平台,產品1,產品2,Function,Intention,landing後的URL
KOKOWEB,KOKO網銀,KOKO網銀,login,,https://www.kokobank.com/KOKO/Home/KOKOLoginPage
KOKOWEB,KOKO網銀,KOKO網銀,login,,https://www.kokobank.com/KOKO/Home/KOKOLoginPage#popout-ajaxContent
KOKOWEB,KOKO網銀,KOKO網銀,產品,,https://www.kokobank.com/KOKO/EBank
KOKOWEB,KOKO網銀,KOKO網銀,產品,,https://www.kokobank.com/KOKO/EBank/AuthorizedVSA
KOKOWEB,KOKO網銀,KOKO網銀,產品,,https://www.kokobank.com/KOKO/EBank/AuthorizedVSA/Index
KOKOWEB,KOKO網銀,KOKO網銀,產品,,https://www.kokobank.com/KOKO/EBank/Home/Index
KOKOWEB,KOKO_訊息,,資訊提供_服務,,https://www.cathaybk.com.tw/cathaybk/about_news1040506.asp
KOKOWEB,KOKO_訊息,,資訊提供_服務,,https://www.cathaybk.com.tw/cathaybk/about_news1040506.asp#
KOKOWEB,KOKO_訊息,,資訊提供_服務,,https://www.cathayholdings.com/bank/cathaybk/about_news1040506.asp
KOKOWEB,KOKO_訊息,,資訊提供_服務,,https://www.cathayholdings.com/bank/cathaybk/about_news1050527.asp
KOKOWEB,一卡通,一卡通,服務設定,,https://www.kokobank.com/KOKO/EBank/IPass
KOKOWEB,一卡通,一卡通,產品申辦,,https://www.kokobank.com/KOKO/EBank/IPass/AccountBinding
KOKOWEB,信用卡,信用卡,產品,網路購物,https://www.kokobank.com/KOKO/Card
KOKOWEB,信用卡,信用卡,產品,網路購物,https://www.kokobank.com/KOKO/Card#
KOKOWEB,信用卡,信用卡,產品,網路購物,https://www.kokobank.com/KOKO/Home/KOKODebit
KOKOWEB,信用卡,信用卡,產品,網路購物,https://www.kokobank.com/KOKO/Home/KOKODebit#benefit-terms
KOKOWEB,信用卡,信用卡,產品,網路購物,https://www.kokobank.com/KOKO/Home/KOKODebit#exclusive-terms
KOKOWEB,信用卡,信用卡,產品,網路購物,https://www.kokobank.com/KOKO/Home/KOKODebit#Insurance
KOKOWEB,信用卡,信用卡,產品,網路購物,https://www.kokobank.com/KOKO/Home/KOKODebit#kokoDebitCard-benefit-term
KOKOWEB,基金,基金,服務,理財投資,https://www.kokobank.com/KOKO/EBank/F0301/F0304_FundRecord
KOKOWEB,基金,基金,服務,理財投資,https://www.kokobank.com/KOKO/EBank/F0301/F0304_MyFundList
KOKOWEB,基金,基金,理財,,https://www.kokobank.com/KOKO/Home/KOKOFund
KOKOWEB,基金,基金,理財,,https://www.kokobank.com/KOKO/Home/KOKOFund#kokoFunds-benefit-term
KOKOWEB,基金,基金,理財,理財投資,https://www.kokobank.com/KOKO/EBank/F0301/F0301_MyFund
KOKOWEB,基金,基金,理財,理財投資,https://www.kokobank.com/KOKO/EBank/F0301/F0301_MyFund#
KOKOWEB,基金,基金,理財,理財投資,https://www.kokobank.com/KOKO/EBank/F0301/F0302_SuitFund
KOKOWEB,基金,基金,理財,理財投資,https://www.kokobank.com/KOKO/EBank/F0401/F0401_KYCQuestionsResult
KOKOWEB,基金,基金,理財,理財投資,https://www.kokobank.com/KOKO/EBank/F0501/F0501_FundSalesActive
KOKOWEB,基金,基金,產品申辦,理財投資,https://www.kokobank.com/KOKO/EBank/F0301/F0303_QuickBuy
KOKOWEB,基金,基金,產品申辦,理財投資,https://www.kokobank.com/KOKO/EBank/F0401/F0401_AppBookList
KOKOWEB,基金,基金,產品申辦,理財投資,https://www.kokobank.com/KOKO/EBank/F0401/F0401_AppBookRst
KOKOWEB,基金,基金,試算表,理財投資,https://www.kokobank.com/KOKO/EBank/F0401/F0401_KYCQuestions
KOKOWEB,帳務明細,帳務明細,服務設定,,https://www.kokobank.com/KOKO/EBank/AuthorizedVSA/AuthorizeCreditCard
KOKOWEB,數位服務,數位服務,理財,,https://www.kokobank.com/KOKO/Home/KOKOStore
KOKOWEB,數位服務,數位服務,理財,,https://www.kokobank.com/KOKO/Home/KOKOStore#
