"event","distinct_id","time","app_build_number","app_release","app_version","app_version_string","bluetooth_enabled","bluetooth_version","brand","carrier","city","ios_ifa","google_play_services","has_nfc","has_telephone","lib_version","manufacturer","model","os","os_version","radio","region","screen_dpi","screen_height","screen_width","wifi","CATEGORY","LogSerialID","mp_country_code","mp_device_model","mp_lib","Campaign","CampaignLogin","from_binding","text","tag"
"main_cardholderlogin","A1CD7BA6-B400-4929-B029-317C8F30EEC9","1477180801","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Pingtung","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","LTE","Pingtung","0","568","320","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_popularcoupons","BQMKDK38","1477180810","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","WCDMA","Taipei","0","568","320","false","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_view","89B2FDB8-B8C9-4239-816F-2E7E1434B7DE","1477180810","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.2","LTE","Taipei","0","667","375","true","?","?","TW","iPhone8,2","iphone","?","?","?","?","?"
"main_view","BQMKDK38","1477180810","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","WCDMA","Taipei","0","568","320","false","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"hompage_register_validation","E2CF50B3-7FB6-4811-A0AF-A1C8C8AE8270","1477180813","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.1","None","Taiwan","0","736","414","false","?","?","TW","iPhone8,2","iphone","?","?","?","?","?"
"main_pointsbanner","4589e31f-ecff-4f05-9217-868d33025a0f","1477180819","88","88","4.2.3","4.2.3","true","ble","Sony","台灣大哥大","Tainan City","?","available","true","true","4.9.2","Sony","D6653","Android","6.0.1","?","Tainan","480","1776","1080","true","A02","A02_86_201608","TW","?","android","?","?","?","?","?"
"main_view","BMYFPM57","1477180820","88","88","4.2.3","4.2.3","false","ble","samsung","TW Mobile","?","?","available","false","true","4.9.2","samsung","GT-N5100","Android","4.4.2","?","?","213","1280","800","false","?","?","TW","?","android","?","?","?","?","?"
"pointsdetail_view","4589e31f-ecff-4f05-9217-868d33025a0f","1477180820","88","88","4.2.3","4.2.3","true","ble","Sony","台灣大哥大","Tainan City","?","available","true","true","4.9.2","Sony","D6653","Android","6.0.1","?","Tainan","480","1776","1080","true","A02","A02_86_201608","TW","?","android","?","?","?","?","?"
"main_editorschoice_banner","89B2FDB8-B8C9-4239-816F-2E7E1434B7DE","1477180827","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.2","LTE","Taipei","0","667","375","true","?","?","TW","iPhone8,2","iphone","網購最優滿NT$888送NT$100","?","?","?","?"
"main_cardholderlogin","4589e31f-ecff-4f05-9217-868d33025a0f","1477180832","88","88","4.2.3","4.2.3","true","ble","Sony","台灣大哥大","Tainan City","?","available","true","true","4.9.2","Sony","D6653","Android","6.0.1","?","Tainan","480","1776","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_mycoupons","BUNNXZ52","1477180833","88","88","4.2.3","4.2.3","false","ble","htc","台灣大哥大","Taipei","?","available","true","true","4.9.2","HTC","HTC_M910x","Android","5.0.2","?","Taipei","480","1776","1080","false","?","?","TW","?","android","?","?","?","?","?"
"main_popularcoupons","BRCJFV22","1477180834","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taichung","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"main_view","BRCJFV22","1477180834","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taichung","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"main_creditcardhelper","BUNNXZ52","1477180836","88","88","4.2.3","4.2.3","false","ble","htc","台灣大哥大","Taipei","?","available","true","true","4.9.2","HTC","HTC_M910x","Android","5.0.2","?","Taipei","480","1776","1080","false","?","?","TW","?","android","?","?","?","?","?"
"main_popularcoupons","CFCFGB26","1477180837","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone7,1","iPhone OS","9.3.2","LTE","Taipei","0","736","414","false","?","?","TW","iPhone7,1","iphone","?","?","?","?","?"
"main_view","CFCFGB26","1477180837","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone7,1","iPhone OS","9.3.2","LTE","Taipei","0","736","414","false","?","?","TW","iPhone7,1","iphone","?","?","?","?","?"
"main_editorchoice","BRCJFV22","1477180838","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taichung","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"main_view","CFCFGB26","1477180839","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone7,1","iPhone OS","9.3.2","LTE","Taipei","0","736","414","false","?","?","TW","iPhone7,1","iphone","?","?","?","?","?"
"main_view","89B2FDB8-B8C9-4239-816F-2E7E1434B7DE","1477180841","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.2","LTE","Taipei","0","667","375","true","?","?","TW","iPhone8,2","iphone","?","?","?","?","?"
"main_popularcoupons","CLBPVW51","1477180846","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","WCDMA","Taipei","0","667","375","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_view","CLBPVW51","1477180846","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","WCDMA","Taipei","0","667","375","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_editorschoice_banner","BRCJFV22","1477180847","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taichung","0","568","320","true","?","?","TW","iPhone8,4","iphone","KOKO活動","?","?","?","?"
"main_cardholderlogin","CLBPVW51","1477180848","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","WCDMA","Taipei","0","667","375","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_view","BQTVLP37","1477180852","88","88","4.2.3","4.2.3","false","ble","asus","中華電信","Taipei","?","available","true","true","4.9.2","asus","ASUS_Z00AD","Android","5.0","?","Taipei","480","1920","1080","false","?","?","TW","?","android","?","?","?","?","?"
"main_popularcoupons","E2CF50B3-7FB6-4811-A0AF-A1C8C8AE8270","1477180852","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.1","None","Taiwan","0","736","414","false","?","?","TW","iPhone8,2","iphone","?","?","?","?","?"
"main_cardholderlogin","BQMKDK38","1477180852","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","WCDMA","Taipei","0","568","320","false","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_view","E2CF50B3-7FB6-4811-A0AF-A1C8C8AE8270","1477180852","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.1","None","Taiwan","0","736","414","false","?","?","TW","iPhone8,2","iphone","?","?","?","?","?"
